policy_id,vehicle_type,vehicle_age,vehicle_value,claims_count,claims_amount,earned_premium
M0111,car,7,758691,0,119264,9197
M0112,bike,2,623189,0,5782,3696
M0113,car,10,412130,0,124481,8665
M0114,car,11,244488,0,35585,1801
M0115,bike,12,737556,0,30682,9027
M0116,car,8,440530,1,129992,7881
M0117,bike,2,842058,1,84416,2146
M0118,bike,8,712784,0,127810,5830
M0119,bike,1,849289,1,38067,8503
M0120,bike,11,291531,1,18073,5037
M0121,bike,9,296693,1,36035,6058
M0122,car,8,987486,1,90373,8079
M0123,car,14,969484,0,83362,9974
M0124,car,7,753650,0,90517,5582
M0125,bike,8,600719,1,65450,5683
M0126,bike,4,921408,0,10382,5254
M0127,bike,10,288360,1,135509,3224
M0128,car,10,394855,1,61929,2876
M0129,bike,1,557403,0,98864,3153
M0130,car,7,76385,0,143401,3566
M0131,car,11,481374,0,25169,1522
M0132,bike,14,466235,0,87468,3960
M0133,bike,5,330783,0,34594,7426
M0134,car,7,135530,1,45033,7751
M0135,bike,10,805271,1,63133,8795
M0136,car,4,333707,2,73861,4800
M0137,bike,9,427816,1,31750,7779
M0138,bike,1,973280,0,40461,8853
M0139,car,5,479660,0,78222,5227
M0140,bike,4,451927,0,112020,7772
M0141,car,11,779678,1,24226,7495
M0142,bike,12,395114,1,6721,2014
M0143,car,11,293373,1,20609,1948
M0144,car,4,397697,0,130513,7519
M0145,bike,12,211779,0,104211,6843
M0146,car,0,220182,0,136728,9533
M0147,bike,1,767148,0,124865,4020
M0148,bike,7,657167,0,74520,4581
M0149,bike,12,288260,1,64309,2928
M0150,car,13,973159,0,29984,5467
M0151,car,12,881291,0,118947,7945
M0152,bike,2,888530,0,5901,3659
M0153,bike,9,720611,0,31055,6632
M0154,car,2,696701,0,145788,4047
M0155,bike,7,836958,0,114099,4479
M0156,bike,7,380904,0,11138,4149
M0157,car,1,97837,0,23429,4583
M0158,bike,7,568349,0,50200,2537
M0159,car,10,834838,0,101268,4989
M0160,bike,12,847968,1,17347,9104
M0161,car,12,602829,0,147992,9044
M0162,bike,0,129083,0,31822,4134
M0163,bike,5,608819,0,40108,5483
M0164,car,7,320856,0,128955,3278
M0165,bike,2,416245,0,7967,9402
M0166,car,7,901887,0,110719,6610
M0167,bike,11,649032,0,11871,6689
M0168,car,0,827147,0,28179,8878
M0169,car,10,704037,1,55099,2624
M0170,car,10,841541,2,35262,2197
M0171,car,8,885700,0,78213,3679
M0172,bike,12,806097,0,117407,6751
M0173,bike,10,891047,0,149340,3429
M0174,car,12,656791,1,86269,2513
M0175,car,8,304346,1,60545,1726
M0176,car,4,997263,1,39922,8821
M0177,bike,9,659996,0,42913,3328
M0178,bike,3,765472,0,97033,9409
M0179,bike,14,676759,0,104792,7088
M0180,bike,10,828513,0,119863,3523
M0181,car,5,207661,0,44936,6466
M0182,car,11,735375,1,28141,7391
M0183,car,6,210081,0,140146,2580
M0184,bike,4,919741,0,137478,6536
M0185,bike,10,438590,1,97359,4063
M0186,bike,12,767406,0,123279,4792
M0187,car,9,943093,0,41568,5086
M0188,car,8,731503,0,97539,5931
M0189,bike,2,56154,1,46851,8341
M0190,car,14,727164,0,54823,8143
M0191,bike,6,114288,1,23312,5459
M0192,bike,9,101195,0,98723,1661
M0193,car,9,332725,0,12411,2093
M0194,bike,10,495864,1,57009,4890
M0195,car,4,342231,1,146494,7497
M0196,bike,13,755290,0,32371,7854
M0197,car,6,214053,0,57022,2163
M0198,car,14,643586,1,71229,2041
M0199,car,1,882599,2,99071,6933
M0200,bike,3,780664,0,96774,6593
