policy_id,annual_revenue,risk_level,claims_count,claims_amount,earned_premium
B0098,19935560,medium,0,3771,23111
B0099,18612381,medium,1,336243,28616
B0100,14395337,low,1,645099,14519
B0101,19511644,low,0,974303,9777
B0102,4822069,high,0,848689,25606
B0103,11432291,high,1,803990,22772
B0104,4144787,medium,0,320580,21621
B0105,9346988,high,1,107779,19859
B0106,12641380,high,0,649179,26161
B0107,10942357,medium,0,779085,17496
B0108,11666822,medium,0,485319,15490
B0109,8992726,medium,0,778760,29243
B0110,19943719,medium,0,556664,16893
B0111,9045391,low,0,480674,10989
B0112,9622693,medium,0,77924,16343
B0113,10146779,medium,2,553620,25709
B0114,1498095,medium,1,393145,19914
B0115,11556069,high,0,571025,29511
B0116,10879032,medium,1,393056,16998
B0117,13061944,low,0,89031,10722
B0118,12151870,low,1,467186,12656
B0119,12113050,medium,1,183024,25709
B0120,4330263,low,0,283135,12133
B0121,14618777,high,0,27472,27253
B0122,14911580,medium,0,59946,9242
B0123,4665842,low,1,498782,16539
B0124,12126576,low,0,944353,9831
B0125,3791338,medium,0,263685,25953
B0126,11574811,low,0,653525,15246
B0127,12300059,medium,0,2765,26302
B0128,15413188,low,1,305218,11232
B0129,11689065,high,1,364939,11758
B0130,12841158,low,0,684643,13997
B0131,9234025,low,0,625675,26739
B0132,4945123,medium,1,775404,18972
B0133,11943336,low,0,493377,23368
B0134,5768026,medium,0,918273,9824
B0135,5836161,high,2,673166,18683
B0136,19557464,medium,0,789404,12060
B0137,7126664,medium,0,673616,29708
B0138,11996634,low,0,366047,8404
B0139,8709824,high,0,518790,26105
B0140,15375753,medium,0,149725,29700
B0141,19957235,low,2,627867,19017
B0142,18557173,low,0,479885,11845
B0143,2913980,medium,0,39339,28594
B0144,2507394,low,0,418973,19384
B0145,3979845,medium,1,889808,24448
B0146,3712188,medium,0,304543,17491
B0147,9642873,medium,0,830445,21112
B0148,5713797,high,0,407922,19785
B0149,15844468,medium,0,955735,8968
B0150,1910913,low,0,552197,8368
B0151,3057017,high,0,518993,16424
B0152,1653817,low,0,994135,10242
B0153,18773649,high,1,712932,29386
B0154,7555851,high,0,479095,11083
B0155,5108949,high,0,981271,21322
B0156,14157587,high,0,157541,9469
B0157,16216576,low,0,132385,12725
B0158,8138512,medium,0,401063,12259
B0159,10886458,low,0,967726,11622
B0160,8567476,medium,0,992206,18292
B0161,10335411,low,1,141002,25207
B0162,4486444,high,1,3285,11431
B0163,8163357,high,0,385781,12151
B0164,11484206,medium,0,560151,12213
B0165,6509165,medium,0,147776,23235
B0166,5873014,low,1,936209,16989
B0167,18245514,medium,2,655915,8779
B0168,5330453,low,0,545611,23351
B0169,18347519,medium,0,333112,19042
B0170,10377259,medium,2,984426,27276
B0171,6170988,medium,1,53915,13534
B0172,4317657,high,0,371687,11306
B0173,4336640,high,0,665979,10902
B0174,16526398,low,0,203462,21391
B0175,6000738,medium,1,784278,11718
B0176,3660891,low,0,894932,8021
B0177,16173091,medium,0,507553,9500
B0178,16978042,high,0,976778,17034
B0179,15514418,high,0,466389,23799
B0180,3192271,medium,0,938729,11641
B0181,16533326,medium,0,373410,29596
B0182,17071416,high,0,813171,8191
B0183,6236441,high,0,440924,21306
B0184,12420970,low,1,652329,21414
B0185,6831052,high,0,53019,16587
B0186,10978954,medium,0,207226,29498
B0187,14685713,low,0,233169,12662
B0188,13823529,medium,0,531661,12326
B0189,4254449,low,1,690641,17065
B0190,9994006,medium,1,544475,28719
B0191,10976122,high,0,854295,18471
B0192,6271810,medium,1,622215,20641
B0193,5935371,low,0,762473,17196
B0194,1260102,medium,1,346229,20726
B0195,17091184,low,0,117996,29878
B0196,6818528,medium,0,563508,23651
B0197,9214372,high,0,392647,16536
B0198,9536239,high,0,515971,27095
B0199,2343054,medium,0,531930,20944
B0200,11722305,medium,0,79971,14273
